iter	Passed	Remaining
0	62	62018
1	64	32039
2	66	22091
3	69	17200
4	71	14232
5	73	12238
6	76	10821
7	78	9770
8	81	8974
9	83	8308
10	86	7755
11	88	7291
12	90	6896
13	93	6557
14	95	6302
15	98	6036
16	100	5802
17	103	5628
18	105	5440
19	108	5302
20	110	5165
21	113	5062
22	115	4912
23	117	4785
24	120	4698
25	122	4598
26	124	4503
27	127	4425
28	130	4371
29	133	4306
30	136	4257
31	139	4205
32	141	4150
33	143	4090
34	146	4033
35	149	3991
36	151	3952
37	154	3906
38	156	3859
39	159	3816
40	161	3779
41	163	3734
42	166	3701
43	168	3662
44	170	3625
45	173	3591
46	175	3557
47	177	3527
48	180	3497
49	182	3465
50	184	3437
51	186	3408
52	189	3390
53	192	3364
54	194	3340
55	196	3317
56	199	3303
57	201	3279
58	204	3265
59	207	3249
60	209	3227
61	212	3212
62	214	3191
63	216	3172
64	219	3155
65	221	3138
66	224	3120
67	226	3104
68	229	3093
69	231	3081
70	234	3063
71	236	3046
72	238	3028
73	240	3013
74	243	3003
75	246	2992
76	248	2983
77	251	2968
78	253	2953
79	255	2939
80	257	2926
81	260	2912
82	262	2899
83	264	2887
84	267	2878
85	269	2865
86	271	2852
87	274	2844
88	276	2832
89	278	2819
90	281	2814
91	284	2807
92	287	2802
93	289	2790
94	291	2779
95	293	2767
96	296	2760
97	298	2749
98	301	2739
99	303	2728
100	305	2720
101	307	2710
102	310	2699
103	312	2690
104	314	2681
105	317	2677
106	320	2671
107	322	2663
108	324	2654
109	327	2652
110	330	2643
111	332	2636
112	334	2627
113	337	2619
114	339	2611
115	341	2602
116	343	2594
117	346	2587
118	348	2579
119	350	2572
120	352	2563
121	355	2560
122	358	2555
123	360	2547
124	362	2540
125	365	2535
126	367	2527
127	370	2521
128	372	2518
129	375	2513
130	377	2505
131	379	2498
132	382	2494
133	385	2493
134	388	2486
135	391	2485
136	393	2478
137	396	2474
138	398	2468
139	401	2465
140	403	2460
141	406	2455
142	408	2448
143	411	2445
144	413	2440
145	416	2434
146	418	2430
147	421	2425
148	423	2420
149	426	2415
