iter	Passed	Remaining
0	4	4903
1	6	3429
2	8	2786
3	9	2470
4	11	2264
5	12	2132
6	14	2060
7	16	2005
8	17	1943
9	19	1934
10	21	1890
11	22	1875
12	24	1852
13	26	1841
14	27	1818
15	29	1798
16	31	1801
17	32	1779
18	34	1763
19	36	1778
20	38	1776
21	39	1773
22	41	1762
23	43	1751
24	44	1741
25	46	1727
26	47	1716
27	49	1716
28	51	1710
29	52	1700
30	54	1696
31	55	1691
32	57	1691
33	59	1689
34	61	1687
35	62	1672
36	64	1677
37	65	1670
38	67	1664
39	69	1657
40	70	1651
41	72	1647
42	73	1642
43	75	1640
44	77	1639
45	78	1632
46	80	1636
47	82	1634
48	83	1629
49	85	1623
50	86	1613
51	88	1609
52	89	1605
53	91	1602
54	93	1599
55	94	1597
56	96	1594
57	97	1590
58	99	1590
59	101	1585
60	102	1583
61	104	1579
62	105	1574
63	107	1574
64	109	1570
65	110	1565
66	112	1562
67	113	1562
68	115	1558
69	117	1555
70	118	1550
71	120	1547
72	121	1545
73	123	1542
74	124	1539
75	126	1537
76	127	1533
77	129	1532
78	131	1530
79	132	1528
80	134	1523
81	135	1521
82	137	1518
83	138	1515
84	140	1514
85	142	1515
86	144	1512
87	145	1509
88	147	1508
89	148	1506
90	150	1504
91	152	1501
92	153	1498
93	155	1495
94	156	1492
95	158	1491
96	159	1489
97	161	1487
98	163	1484
99	164	1482
100	166	1481
101	168	1479
102	169	1476
103	171	1474
104	172	1471
105	174	1469
106	175	1467
107	177	1466
108	179	1464
109	180	1463
110	182	1461
111	183	1457
112	185	1459
113	187	1456
114	189	1456
115	190	1454
116	192	1452
117	194	1450
118	195	1450
119	197	1447
120	199	1446
121	200	1444
122	202	1442
123	203	1440
124	205	1440
125	207	1440
126	209	1438
127	211	1437
128	212	1436
129	214	1435
130	216	1433
131	217	1431
132	219	1429
133	221	1428
134	222	1427
135	224	1425
136	225	1422
137	227	1421
138	229	1419
139	230	1418
140	232	1415
141	234	1413
142	235	1412
143	237	1409
144	238	1406
145	240	1404
146	241	1402
147	243	1399
148	244	1397
149	246	1396
150	248	1396
151	250	1395
152	251	1392
153	253	1390
154	254	1388
155	256	1386
156	257	1384
157	259	1383
158	261	1382
159	262	1379
160	264	1377
161	266	1376
162	267	1374
163	269	1373
164	270	1371
165	272	1368
166	273	1366
167	275	1365
168	277	1363
169	278	1360
170	280	1359
171	281	1357
172	283	1355
173	285	1353
174	286	1352
175	288	1350
176	290	1349
177	291	1346
178	293	1344
179	294	1343
180	296	1342
181	298	1340
182	299	1339
183	301	1336
184	302	1333
185	304	1332
186	306	1331
187	307	1329
188	309	1329
189	311	1327
190	313	1325
191	314	1324
192	316	1322
193	318	1321
194	319	1318
195	320	1316
196	322	1315
197	324	1313
198	325	1312
199	327	1311
200	329	1310
201	331	1308
202	333	1307
203	334	1306
204	336	1304
205	337	1301
206	339	1300
207	341	1298
208	342	1296
209	344	1295
210	345	1292
211	347	1292
212	349	1291
213	351	1290
214	353	1289
215	354	1287
216	356	1285
217	357	1283
